States/UTs,State/UT-Wise Total Number of Road Accidents during - 2014,State/UT-Wise Total Number of Road Accidents during - 2015,State/UT-Wise Total Number of Road Accidents during - 2016,State/UT-Wise Total Number of Road Accidents during - 2017,Share of States/UTs in Total Number of Road Accidents - 2014,Share of States/UTs in Total Number of Road Accidents - 2015,Share of States/UTs in Total Number of Road Accidents - 2016,Share of States/UTs in Total Number of Road Accidents - 2017,Total Number of Accidents Per Lakh Population - 2014,Total Number of Accidents Per Lakh Population - 2015,Total Number of Accidents Per Lakh Population - 2016,Total Number of Accidents Per Lakh Population - 2017,"Total Number of Road Accidents per 10,000 Vehicles - 2014","Total Number of Road Accidents per 10,000 Vehicles - 2015","Total Number of Road Accidents per 10,000 Vehicles - 2016","Total Number of Road Accidents per 10,000 Km of Roads - 2014","Total Number of Road Accidents per 10,000 Km of Roads - 2015","Total Number of Road Accidents per 10,000 Km of Roads - 2016"
Andhra Pradesh,24440,24258,24888,25727,5,4.8,5.2,5.5,28.1,27.7,28.2,28.9,34.9,30.8,28.5,1372.3,1355,1427.3
Arunachal Pradesh,205,284,249,241,0,0.1,0.1,0.1,16,21.9,19,18.2,13.6,18.8,9.4,83.8,112,81.1
Assam,7144,6959,7435,7170,1.5,1.4,1.5,1.5,22.5,21.7,22.9,21.9,32.2,27.7,26.4,227.8,213.1,225.6
Bihar,9556,9555,8222,8855,2,1.9,1.7,1.9,9.4,9.3,7.9,8.4,23,20,15,455.6,463.8,398.2
Chhattisgarh,13821,14446,13580,13563,2.8,2.9,2.8,2.9,54.8,56.5,52.5,51.8,35.7,33.5,28.2,1461.3,1481.1,1417.4
Goa,4229,4338,4304,3917,0.9,0.9,0.9,0.8,220.8,222.1,217.7,193.6,41.9,40,37.2,3187.6,2966.4,2679.4
Gujarat,23712,23183,21859,19081,4.8,4.6,4.5,4.1,38.7,37.3,34.8,30,13.9,12.4,10.7,1324.2,1271.8,1220.2
Haryana,10676,11174,11234,11258,2.2,2.2,2.3,2.4,40,41.3,40.9,40.4,14.7,14.1,13,2501.1,2414.1,2317.1
Himachal Pradesh,3058,3010,3168,3114,0.6,0.6,0.7,0.7,43.8,42.8,44.7,43.5,31.4,27.9,27,562.3,541.4,568.2
Jammu & Kashmir,5861,5836,5501,5624,1.2,1.2,1.1,1.2,48.2,47.5,44.3,44.8,51.7,46.9,40.3,1498.7,1492.7,1106.5
Jharkhand,5201,5162,4932,5198,1.1,1,1,1.1,15.9,15.5,14.7,15.3,30.3,25,19.9,1260.6,1208.8,738.5
Karnataka,43713,44011,44403,42542,8.9,8.8,9.2,9.2,71.4,71.2,71.2,67.6,32.8,29.8,27.3,1395.8,1367.6,1285.1
Kerala,36282,39014,39420,38470,7.4,7.8,8.2,8.3,102.9,110,110.5,107.2,41.3,40.4,38.8,1875.4,2002.2,1963.1
Madhya Pradesh,53472,54947,53972,53399,10.9,11,11.2,11.5,70.7,71.6,69.3,67.6,55,49.3,48.4,1909.7,1901.7,1861.5
Maharashtra,61627,63805,39878,35853,12.6,12.7,8.3,7.7,52.6,53.8,33.2,29.5,26.3,25,14.3,1012.5,1049.2,650.1
Manipur,743,671,538,578,0.2,0.1,0.1,0.1,29.3,26.2,20.8,22.1,18.8,21.8,17.6,343,276.7,217.1
Meghalaya,542,606,620,675,0.1,0.1,0.1,0.1,20,22.1,22.4,24.1,21.8,22.7,11.1,408.7,453.2,285.4
Mizoram,132,70,83,68,0,0,0,0,12.7,6.7,7.8,6.3,9.6,4.6,4.8,134.7,71.2,102.4
Nagaland,305,54,75,531,0.1,0,0,0.1,13.1,2.3,3.2,22.1,9.6,1.6,2,83.3,14.5,20.8
Odisha,9648,10542,10532,10855,2,2.1,2.2,2.3,23.1,25,24.8,25.4,20.5,20.2,18.1,340.7,371.6,365.6
Punjab,6391,6702,6952,6273,1.3,1.3,1.4,1.3,22.4,23.2,23.9,21.4,10.2,10.7,7.7,613.6,636.1,641.5
Rajasthan,24628,24072,23066,22112,5,4.8,4.8,4.8,34.7,33.4,31.6,29.9,22.1,19.4,16.9,1020.9,970,907.1
Sikkim,203,219,210,196,0,0,0,0,32.1,34.2,32.5,30,51.3,50.7,42.9,311.1,294,254.8
Tamil Nadu,67250,69059,71431,65562,13.7,13.8,14.9,14.1,98,100,102.9,94,32.2,30.7,29.5,2645.5,2644.9,2736.5
Telangana,20078,21252,22811,22484,4.1,4.2,4.7,4.8,NA,NA,NA,NA,28.4,27.1,26.2,2177.3,2119.9,1846
Tripura,716,647,557,503,0.1,0.1,0.1,0.1,19.1,17.1,14.6,13,28,22.9,17.4,171.1,173.1,141.5
Uttarakhand,1410,1523,1591,1603,0.3,0.3,0.3,0.3,13.6,14.5,15,14.9,8.6,8.3,8.4,233.3,242,260.7
Uttar Pradesh,31034,32385,35612,38783,6.3,6.5,7.4,8.3,14.7,15.1,16.3,17.5,16.2,15,14.9,781.3,779.6,843.1
West Bengal,12875,13208,13580,11631,2.6,2.6,2.8,2.5,14,14.2,14.5,12.3,19.1,17.8,20.9,410.4,446.2,428.8
Andaman & Nicobar Islands,218,258,238,189,0,0.1,0,0,40.9,47.5,43.2,33.6,23.3,25.2,21.4,1654,1908.3,1594.3
Chandigarh,369,416,428,342,0.1,0.1,0.1,0.1,22.4,24.2,24,18.4,5.9,6.1,5.1,1281.6,1417.4,1517.2
Dadra & Nagar Haveli,87,69,70,67,0,0,0,0,21.6,16.7,16.6,15.3,8.5,6.2,6.6,1034.5,797.7,617.4
Daman & Diu,39,70,71,79,0,0,0,0,12.8,22.1,21.5,23,4.1,7,6.7,769.2,1341,1432.6
Delhi,8623,8085,7375,6673,1.8,1.6,1.5,1.4,42.9,39.1,34.6,30.5,10.4,9.1,7.6,2695,2521.3,4184.4
Lakshadweep,1,3,1,1,0,0,0,0,1.3,3.8,1.2,1.2,0.8,2.1,0.6,48.1,140.2,47.8
Puducherry,1111,1530,1766,1693,0.2,0.3,0.4,0.4,70.6,94.1,105.8,97.7,14.8,19.1,20.5,3678.9,4980.2,5564.7
Total,489400,501423,480652,464910,100,100,100,100,40.5,38.3,37.9,36.2,26.3,22.9,20.9,1113.7,1051.3,1021.9
